id,date,inning,half,seq,batting_team,fielding_team,batter_id,pitcher_id,result,outs_before,outs_after,bases_before,bases_after,runs_scored_on_play,error_on_play,ball_speed
0,20250310,1,1,1,1,2,4,31,좌전안타,0,0,0,1,0,0,132
1,20250310,1,1,2,1,2,12,32,희생번트,0,1,1,10,0,0,130
2,20250310,1,1,3,1,2,17,28,우익수 뜬공,1,2,10,10,0,0,134
3,20250310,1,1,4,1,2,15,22,중전 적시타,2,2,10,1,1,0,125
4,20250310,1,1,5,1,2,14,24,삼진,2,3,1,0,0,0,129
5,20250310,1,2,1,2,1,21,10,볼넷,0,0,0,1,0,0,105
6,20250310,1,2,2,2,1,33,3,유격수 병살타,0,2,1,0,0,0,102
7,20250310,1,2,3,2,1,33,19,삼진,2,3,0,0,0,0,87
8,20250310,2,1,1,1,2,6,31,사구,0,0,0,1,0,0,135
9,20250310,2,1,2,1,2,19,25,중전안타,0,0,1,11,0,0,140
10,20250310,2,1,3,1,2,15,35,유격수 실책 출루,0,0,11,111,0,1,102
11,20250310,2,1,4,1,2,2,31,밀어내기 볼넷,0,0,111,111,1,0,95
12,20250310,2,1,5,1,2,2,31,2타점 중전안타,0,0,111,11,2,0,119
13,20250310,2,1,6,1,2,4,32,유격수 병살타,0,2,11,100,0,0,121
14,20250310,2,1,7,1,2,4,24,삼진,2,3,100,0,0,0,139
15,20250310,2,2,1,2,1,31,14,좌전안타,0,0,0,1,0,0,127
16,20250310,2,2,2,2,1,31,10,삼진,0,1,1,1,0,0,91
17,20250310,2,2,3,2,1,21,1,좌중간 적시2루타,1,1,1,10,1,0,79
18,20250310,2,2,4,2,1,36,10,3루 땅볼,1,2,10,100,0,0,72
19,20250310,2,2,5,2,1,26,0,우익수 희생플라이,2,3,100,0,1,0,74
20,20250310,3,1,1,1,2,4,32,볼넷,0,0,0,1,0,0,138
21,20250310,3,1,2,1,2,3,31,우전안타,0,0,1,101,0,0,96
22,20250310,3,1,3,1,2,8,38,적시 내야안타,0,0,101,11,1,0,95
23,20250310,3,1,4,1,2,11,36,좌익선상 2루타,0,0,11,10,2,0,97
24,20250310,3,1,5,1,2,8,27,우전안타,0,0,10,1,1,0,74
25,20250310,3,1,6,1,2,18,30,중견수 희생플라이,0,1,101,1,1,0,82
26,20250310,3,1,7,1,2,6,37,좌전안타,1,1,1,11,0,0,107
27,20250310,3,1,8,1,2,5,34,3루수 실책 출루,1,1,11,111,0,1,96
28,20250310,3,1,9,1,2,3,32,2타점 우전안타,1,1,111,101,2,0,87
29,20250310,3,1,10,1,2,11,28,유격수 땅볼,1,2,101,1,1,0,135
30,20250310,3,1,11,1,2,4,33,삼진,2,3,1,0,0,0,98
31,20250310,3,2,1,2,1,30,16,중전안타,0,0,0,1,0,0,108
32,20250310,3,2,2,2,1,34,11,볼넷,0,0,1,11,0,0,72
33,20250310,3,2,3,2,1,26,4,중전 적시타,0,0,11,11,1,0,125
34,20250310,3,2,4,2,1,27,7,좌중간 2타점 2루타,0,0,11,10,2,0,103
35,20250310,3,2,5,2,1,23,12,삼진,0,1,10,10,0,0,122
36,20250310,3,2,6,2,1,39,1,유격수 땅볼,1,2,10,100,0,0,118
37,20250310,3,2,7,2,1,38,12,중견수 뜬공,2,3,100,0,0,0,120
38,20250317,1,1,1,3,4,48,71,중견수 뜬공,0,1,0,0,0,0,73
39,20250317,1,1,2,3,4,50,71,삼진,1,2,0,0,0,0,97
40,20250317,1,1,3,3,4,53,71,유격수 땅볼,2,3,0,0,0,0,82
41,20250317,1,2,1,4,3,63,40,중전안타,0,0,0,1,0,0,129
42,20250317,1,2,2,4,3,67,40,유격수 땅볼,0,1,1,10,0,0,75
43,20250317,1,2,3,4,3,72,40,중전안타,1,1,10,101,0,0,79
44,20250317,1,2,4,4,3,65,40,유격수 땅볼,1,2,101,10,1,0,117
45,20250317,1,2,5,4,3,76,40,유격수 땅볼,2,3,10,100,0,0,140
46,20250317,2,1,1,3,4,49,71,볼넷,0,0,0,1,0,0,109
47,20250317,2,1,2,3,4,44,71,삼진,0,1,1,1,0,0,101
48,20250317,2,1,3,3,4,41,71,우익선상 3루타,1,1,1,100,1,0,93
49,20250317,2,1,4,3,4,52,71,좌월 홈런,1,1,100,0,2,0,101
50,20250317,2,1,5,3,4,56,71,유격수 땅볼,1,2,0,0,0,0,87
51,20250317,2,1,6,3,4,46,71,유격수 땅볼,2,3,0,0,0,0,134
52,20250317,2,2,1,4,3,69,40,유격수 땅볼,0,1,0,0,0,0,85
53,20250317,2,2,2,4,3,70,40,삼진,1,2,0,0,0,0,129
54,20250317,2,2,3,4,3,68,40,중견수 뜬공,2,3,0,0,0,0,109
55,20250317,3,1,1,3,4,48,71,유격수 땅볼,0,1,0,0,0,0,136
56,20250317,3,1,2,3,4,50,71,볼넷,1,1,0,1,0,0,106
57,20250317,3,1,3,3,4,53,71,좌월 홈런,1,1,1,0,2,0,110
58,20250317,3,1,4,3,4,49,71,볼넷,1,1,0,1,0,0,138
59,20250317,3,1,5,3,4,44,71,유격수 땅볼,1,2,1,10,0,0,118
60,20250317,3,1,6,3,4,41,71,중전안타,2,2,10,101,0,0,124
61,20250317,3,1,7,3,4,52,71,삼진,2,3,101,101,0,0,107
62,20250317,3,2,1,4,3,78,40,중견수 뜬공,0,1,0,0,0,0,131
63,20250317,3,2,2,4,3,63,40,삼진,1,2,0,0,0,0,114
64,20250317,3,2,3,4,3,67,40,볼넷,2,2,0,1,0,0,136
65,20250317,3,2,4,4,3,72,40,좌월 홈런,2,2,1,0,2,0,116
66,20250317,3,2,5,4,3,65,40,유격수 땅볼,2,3,0,0,0,0,119
67,20250317,4,1,1,3,4,56,71,삼진,0,1,0,0,0,0,75
68,20250317,4,1,2,3,4,46,71,유격수 땅볼,1,2,0,0,0,0,71
69,20250317,4,1,3,3,4,48,71,유격수 땅볼,2,3,0,0,0,0,78
70,20250317,4,2,1,4,3,76,40,유격수 땅볼,0,1,0,0,0,0,74
71,20250317,4,2,2,4,3,69,40,볼넷,1,1,0,1,0,0,70
72,20250317,4,2,3,4,3,70,40,중전안타,1,1,1,11,0,0,76
